codigo_ine,nombre,provincia,ccaa,poblacion,superficie_km2,lat_centro,lon_centro,n_alojamientos_osm,n_vut_oficial,plazas_vut,n_vut_con_plazas,pct_vut_con_plazas,n_vut_geolocalizadas,pct_vut_geolocalizadas,plazas_hoteleras,n_establecimientos_hoteleros,origen_hotelero,n_restauracion,n_atracciones,n_camping,n_transporte,origen_osm,origen_vut,cobertura_vut,saturacion_plazas_1000hab,densidad_plazas_km2,plazas_totales,saturacion_total_1000hab,pct_plazas_hoteleras,n_servicios,densidad_servicios_km2,servicios_1000hab,dist_transporte_km,atracciones_1000hab,indice_demanda,indice_saturacion,indice_oportunidad,indice_riesgo
01001,Alegría-Dulantzi,Araba/Álava,País Vasco,2955,19.9249,42.829065157090085,-2.51128156809996,1,2.0,10.0,2.0,100.0,1.0,50.0,,,sin_dato,7,0,1,1,join_espacial,municipal_directo,registro,3.38,0.502,,,,7,0.351,2.37,2.24,0.0,53.6,23.0,30.6,33.7
01002,Amurrio,Araba/Álava,País Vasco,10364,96.0284,43.02545946767456,-2.9716906941849883,3,5.0,34.0,5.0,100.0,0.0,0.0,,,sin_dato,32,7,2,4,join_espacial,municipal_directo,registro,3.28,0.354,,,,39,0.406,3.76,2.86,0.68,66.4,20.3,46.1,36.4
01003,Aramaio,Araba/Álava,País Vasco,1354,73.4549,43.04589118527949,-2.5932508649334527,0,3.0,20.0,3.0,100.0,2.0,66.7,,,sin_dato,6,4,0,0,join_espacial,municipal_directo,registro,14.77,0.272,,,,10,0.136,7.39,9.27,2.95,66.9,31.2,35.7,43.7
01004,Artziniega,Araba/Álava,País Vasco,1868,27.2898,43.1296605612862,-3.1414810574285386,0,0.0,0.0,0.0,,0.0,,,,sin_dato,7,5,1,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,12,0.44,6.42,7.84,2.68,70.5,4.1,66.4,27.3
01006,Armiñón,Araba/Álava,País Vasco,236,12.8328,42.71418609511784,-2.8735764825253343,0,1.0,8.0,1.0,100.0,1.0,100.0,,,sin_dato,0,0,0,0,join_espacial,municipal_directo,registro,33.9,0.623,,,,0,0.0,0.0,3.22,0.0,25.6,48.0,-22.4,40.2
01008,Arratzua-Ubarrundia,Araba/Álava,País Vasco,1056,57.5265,42.924254351873664,-2.613578635893393,0,1.0,4.0,1.0,100.0,0.0,0.0,,,sin_dato,11,2,1,0,join_espacial,municipal_directo,registro,3.79,0.07,,,,13,0.226,12.31,9.3,1.89,71.5,14.8,56.7,34.6
01009,Asparrena,Araba/Álava,País Vasco,1609,63.2608,42.89361536068258,-2.315928543203231,3,6.0,38.0,6.0,100.0,2.0,33.3,,,sin_dato,12,6,1,0,join_espacial,municipal_directo,registro,23.62,0.601,,,,18,0.285,11.19,2.81,3.73,79.5,43.0,36.5,55.8
01010,Ayala/Aiara,Araba/Álava,País Vasco,2921,140.8642,43.07554924370633,-3.078213898232528,1,1.0,8.0,1.0,100.0,0.0,0.0,,,sin_dato,5,4,0,1,join_espacial,municipal_directo,registro,2.74,0.057,,,,9,0.064,3.08,6.4,1.37,55.9,13.1,42.8,28.1
01011,Baños de Ebro/Mañueta,Araba/Álava,País Vasco,286,9.3336,42.52278044711198,-2.675053430954758,0,2.0,11.0,2.0,100.0,2.0,100.0,,,sin_dato,0,2,0,0,join_espacial,municipal_directo,registro,38.46,1.179,,,,2,0.214,6.99,12.26,6.99,68.4,54.8,13.6,59.6
01013,Barrundia,Araba/Álava,País Vasco,882,97.9672,42.91205661768906,-2.4931087735351856,3,0.0,0.0,0.0,,0.0,,,,sin_dato,5,31,0,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,36,0.367,40.82,7.22,35.15,87.5,4.1,83.4,33.3
